Row_Number,Tweet_Num,Tweet,tokenized_cleaned
623,626,Stoner’s Nature #thesmokesupplier #Cannabis #cannabiscommunity #cannabisculture #cannabiscup #cannabiscures… https://t.co/W388RtMQli,stoner nature thesmokesupplier cannabis cannabiscommunity cannabisculture cannabiscup https
624,235,Will @fordnation realize the start up waste and how integrating the existing industry would create more jobs and cu… https://t.co/sCYtTYHwZA,fordnation realize start waste integrating existing industry would create jobs https
625,404,Let the countdown to October 17 begin! #Canada #CannabisAct #October17 #cannabis #Legalization #Trudeau… https://t.co/ew0Dtm4YSL,let countdown october begin canada cannabisact cannabis legalization https
626,224,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
627,64,"RT @BCTruckingAssoc: Cannabis in Canada - please note:  ""It is illegal to take cannabis across Canada's international borders."" https://t.c…",bctruckingassoc cannabis canada please note illegal take cannabis across canada international borders https
628,594,RT @tgtourism: #Canada: primo paese del G7 che dice sì all’uso ricreativo della #marijuana #marijuananews  https://t.co/4heoEeq55n https://…,tgtourism canada primo paese del che dice uso ricreativo della marijuana marijuananews https https
629,481,"Doug Ford wants consultations on cannabis sales in Ontario 
But..we already paid for that #CannabisTaskforce read t… https://t.co/2RIvv6fWzI",doug ford wants consultations cannabis sales ontario already paid cannabistaskforce read https
630,746,"More Banks Working With #Marijuana Businesses, Despite Federal Moves via @forbes https://t.co/9gHRGpiNVN #cannabiz",banks working marijuana businesses despite federal moves via forbes https cannabiz
631,182,"RT @ArmandConant: To be clear, as of October 17, 2018, all adult Canadians will have legal access to cannabis for recreational use. Time wi…",armandconant clear october adult canadians legal access cannabis recreational use time
632,605,"RT @occupywsib: RT #DougFord wants consultations on #marijuana sales in #Ontario https://t.co/EG5iR4iXSv #Ford, who was elected this month,…",occupywsib dougford wants consultations marijuana sales ontario https ford elected month
633,965,RT @CSGordonCrossan: @afuahirsch talks wisely on #LegaliseCannabis debate #bbcqt - 'it’s a complex issue requiring sophisticated debate rat…,csgordoncrossan afuahirsch talks wisely legalisecannabis debate bbcqt complex issue requiring sophisticated debate
634,548,"RT @JusticeCanadaEN: Today, Bill #C46 has become law. This is the first change in Canada’s impaired driving laws in a generation. These cha…",justicecanadaen today bill become law first change canada impaired driving laws generation
635,509,RT @MinJusticeEn: We’ve worked hard to make Canada’s roads safer for everyone. I’m happy to announce that #C46 has now become law. The chan…,minjusticeen worked hard make canada roads safer everyone happy announce become law
636,340,Way to step up Canada #CannabisCures #legalization,way step canada cannabiscures legalization
637,832,Viper Extracts! #HighLife #Imtoohigh #Wax #Cannabis #CannabisCommunity #SecondKingdom https://t.co/PeQcKbu7Om,viper extracts highlife imtoohigh wax cannabis cannabiscommunity secondkingdom https
638,206,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,govcanhealth check topten things need know legalization regulation cannabis canada
639,899,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,iliveasnatalie professional within construction industry concerned legalization marijuana affect
640,502,RT @AbigailBimman: Random breathalyzer tests to be legal in December even though #C46 got royal assent this AM. Part 1 effective now: creat…,abigailbimman random breathalyzer tests legal december even though got royal assent part effective
641,599,It's not #legalization it's monopolization for a few large growers. Second it's created like 50 new regulations and… https://t.co/HXpI2tCSvG,legalization monopolization large growers second created like new regulations https
642,829,RT @Cenastor: Love seeing this! Can't wait till I can just walk in a store and get my cannabis. #cannabis #cannabiscommunity #weed #cannabi…,cenastor love seeing wait till walk store get cannabis cannabis cannabiscommunity weed
643,585,"It's time for your #DailyHit of #cannabis financial news
https://t.co/vbBZBXNjJl
$TGOD $IGC $HEXO #marijuananews #marijuanastocks #GMR",time dailyhit cannabis financial news https tgod igc hexo marijuananews marijuanastocks gmr
644,1011,"@Hotpage_News Canada set to become first G7 nation to #LegaliseCannabis
https://t.co/N1xIvnDcNX via france24 https://t.co/kTf2z1JX5e",canada set become first nation legalisecannabis https via https
645,528,RT @m1kek9: @mandymcknight I personally prefer to revere and honour scientists and professionals that have contributed to the current colle…,mandymcknight personally prefer revere honour scientists professionals contributed current
646,19,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,govcanhealth check topten things need know legalization regulation cannabis canada
647,192,"RT @ArmandConant: The Government has announced October 17, 2018 as the date the #Cannabis Act (Bill C-45) comes into force. The announcemen…",armandconant government announced october date cannabis act bill comes force
648,423,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",canborder even though cannabis legal regulated canada near future still able bring
649,33,"RT @drex: Tonight on #TheShiftWithDrex. We chat #CannabisAct, and the current laws around Cannabis &amp; driving, and where they could be going…",drex tonight theshiftwithdrex chat cannabisact current laws around cannabis amp driving could
650,985,"RT @ygreck: Loi adoptée #polcan #polQC #AssNat #LegaliseCannabis @JustinTrudeau 
https://t.co/tYzhhRsCgy https://t.co/uOto9SyCr6",ygreck loi adoptée polcan polqc assnat legalisecannabis justintrudeau https https
651,373,RT @DSouthAfrica: #Dagga #Cannabis #SouthAfrica #legalizeit #CannabisWorks2018 #breakthetaboo #StonerFam #Weed #CannabisCommunity #legaliza…,dsouthafrica dagga cannabis southafrica legalizeit breakthetaboo stonerfam weed cannabiscommunity
652,722,"RT @daviddinenberg: Come on @ChuckGrassley WTF,
Let’s see if it passes on its merit. #Republican Sen. Grassley is not planning or consideri…",daviddinenberg come chuckgrassley wtf let see passes merit republican grassley planning
653,954,"RT @MontereyBud: #TexasRepublicans , apparently, are ready to discuss #MarijuanaDecriminalization #IndustrialHempCultivation and marijuana’…",montereybud texasrepublicans apparently ready discuss marijuanadecriminalization industrialhempcultivation marijuana
654,96,RT @CannabisCCI: What the Canadian #Cannabis #ACMPR industry needs to know about #C45 #CannabisAct and moving forward: https://t.co/T1ebdGU…,cannabiscci canadian cannabis acmpr industry needs know cannabisact moving forward https
655,137,"RT @namaste: The date for the legalization of recreational #cannabis has been set! On October 17 of this year, Canada will see the dawn of…",namaste date legalization recreational cannabis set october year canada see dawn
656,884,"@JeffFlake I have chickens within 25 miles of a dispensary, and I want to grow my  own #MarijuanaDecriminalization… https://t.co/OU6ze5YBOl",jeffflake chickens within miles dispensary want grow https
657,860,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,iliveasnatalie professional within construction industry concerned legalization marijuana affect
658,122,Let the countdown to October 17 begin! #Canada #CannabisAct #October17 #cannabis #Legalization #Trudeau… https://t.co/ew0Dtm4YSL,let countdown october begin canada cannabisact cannabis legalization https
659,266,"RT @andrewjwilder: Bill #C45  has received Royal Assent by the Governor General. However, according to Prime Minister Trudeau recreational…",andrewjwilder bill received royal assent governor general however according prime minister trudeau
660,962,"@Simpson_Rick 🇮🇪 You’ll be able to return home now Rick, #cannabis is now legal in Canada 🇨🇦 Why on earth do you no… https://t.co/8y7Hc3chfk",able return home rick cannabis legal canada earth https
661,327,RT @TheGreenDailyy: Well it’s official #Canada Trudeau announces Oct 17 2018 as the official date of #legalization of #cannabis. #StayCrisp…,thegreendailyy well official canada trudeau announces oct official date legalization cannabis
662,259,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
663,413,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",canborder even though cannabis legal regulated canada near future still able bring
664,805,RT @SensibleMJ: We've got some very enthusiastic #marijuana #Decrim supporters here in #CLE. Come by the Beach House and sign our #NoFineNo…,sensiblemj got enthusiastic marijuana decrim supporters cle come beach house sign
665,981,"RT @ygreck: Loi adoptée #polcan #polQC #AssNat #LegaliseCannabis @JustinTrudeau 
https://t.co/tYzhhRsCgy https://t.co/uOto9SyCr6",ygreck loi adoptée polcan polqc assnat legalisecannabis justintrudeau https https
666,177,RT @Investor_Intel: #CannabisAct: The morning after comes with supply anxiety https://t.co/TIsQ85KXku #Cannabis #BillC45,cannabisact morning comes supply anxiety https cannabis
667,671,"Philip Levine talks opioid crisis, marijuana legalization, race in Boynton Beach https://t.co/VOqoUXKnsz #marijuana #news",philip levine talks opioid crisis marijuana legalization race boynton beach https marijuana news
668,659,"This is #winning. Only a 10% tax!! Smart move, #Canada. 👏
This is a big win for the #economy!
#marijuananews

https://t.co/4c3cj1D67P",winning tax smart move canada big win economy marijuananews https
669,42,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…",made cannabisact receives royal assent regulations wednesday june
670,393,"RT @Tokerwaredotcom: Voiceover guy that did 'this is your brain on drugs' PSA now wants #legalization

https://t.co/25dcWVXEbS

#tokerware",tokerwaredotcom voiceover guy brain drugs psa wants legalization https tokerware
671,145,"""We've just witnessed a historic vote for Canada. The end of 90 years of prohibition."" — @TonyDean_TO  

When… https://t.co/RPJpBpoRDi",witnessed historic vote canada end years prohibition https
672,429,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",canborder even though cannabis legal regulated canada near future still able bring
673,665,"RT @TyrellPacino: CEO of #PrgCoin Jessica VerSteeg In Her Own Words telling about the #cannabisindustry

Read it out. 

@JessVerSteeg  #Can…",tyrellpacino ceo prgcoin jessica versteeg words telling cannabisindustry read jessversteeg
674,867,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,iliveasnatalie professional within construction industry concerned legalization marijuana affect
675,459,"RT @GovCanHealth: .@CDNMinHealth, Minister of @Safety_Canada and Minister of @JusticeCanadaEN are pleased to announce that Bill #C45 has pa…",govcanhealth cdnminhealth minister minister justicecanadaen pleased announce bill
676,534,"RT @JusticeCanadaEN: Today, Bill #C46 has become law. This is the first change in Canada’s impaired driving laws in a generation. These cha…",justicecanadaen today bill become law first change canada impaired driving laws generation
677,297,"RT @JodieEmery: Still waiting for a Trudeau to decriminalize pot... 

I wrote this 6 YEARS ago, and @JustinTrudeau still refuses to end unj…",jodieemery still waiting trudeau decriminalize pot wrote years ago justintrudeau still refuses end
678,351,"Let's talk community ...  
#legalization #cannabis https://t.co/3Az5MWloT4",let talk community legalization cannabis https
679,1007,"RT @seblebanon: Growing market for exporters and #FDI in the US's growing #MedicalMarijuana industry: 

#CannabisAct #MedicalCannabis #Mari…",seblebanon growing market exporters fdi growing medicalmarijuana industry cannabisact medicalcannabis
680,150,"With the Passing of Canada's Marijuana Bill C-45, the Nations' Legal Cannabis Market is Expected to Exceed $5 billi… https://t.co/IwE2tLU7eO",passing canada marijuana bill nations legal cannabis market expected exceed https
681,480,RT @Puglaas: Pleased to see #C45 and #C46 receive Royal Assent. These Bills represent historic law reform built on evidence-based policy fo…,puglaas pleased see receive royal assent bills represent historic law reform built policy
682,447,"RT @CDNMinHealth: I’m pleased to announce that Bill #C45 has passed in the Senate, a milestone in the process of legalizing and strictly re…",cdnminhealth pleased announce bill passed senate milestone process legalizing strictly
683,700,RT @DrugPolicyOrg: We're disappointed to learn none of the committee leaders in the House/Senate are willing to let #marijuana reform be vo…,drugpolicyorg disappointed learn none committee leaders willing let marijuana reform
684,1030,"RT @KoryDub: Canada is legalizing weed and Donald Trump, President of the United States - has started concentration camps. What a time to b…",korydub canada legalizing weed donald trump president united states started concentration camps time
685,431,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",canborder even though cannabis legal regulated canada near future still able bring
686,256,"RT @JodieEmery: Political cowardice:

Trudeau Liberals have majority gov’t &amp; can pass any law they want. They had more than 2.5 years to di…",jodieemery political cowardice trudeau liberals majority gov amp pass law want years
687,946,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,iliveasnatalie professional within construction industry concerned legalization marijuana affect
688,600,"Your ""At Last!"" moment of the day: Two of the products #California is most famous for are coming together as one.… https://t.co/8ur97irXlV",last moment day two products california famous coming together https
689,852,"RT @MJInvestorIdeas: Investor Ideas #Potcasts; #Cannabis News and Stocks on the Move; Bill C-45, TSX: $WEED.TO, TSX: $ACB.TO, CSE: $LIB.C,…",mjinvestorideas investor ideas potcasts cannabis news stocks move bill tsx tsx cse
690,546,"RT @JusticeCanadaFR: Aujourd'hui, le projet de loi #C46 est maintenant une loi. C'est le premier changement apporté aux lois canadiennes su…",justicecanadafr projet loi est maintenant une loi premier changement apporté aux lois canadiennes
691,559,RT @crifici: Unfortunate but predictable. #C46 is bad #cannabis policy made into law and I look forward to working with @KirkTousaw and oth…,crifici unfortunate predictable bad cannabis policy made law look forward working kirktousaw
692,1058,"RT @ygreck: Loi adoptée #polcan #polQC #AssNat #LegaliseCannabis @JustinTrudeau 
https://t.co/tYzhhRsCgy https://t.co/uOto9SyCr6",ygreck loi adoptée polcan polqc assnat legalisecannabis justintrudeau https https
693,680,RT @SensibleMJ: We've got some very enthusiastic #marijuana #Decrim supporters here in #CLE. Come by the Beach House and sign our #NoFineNo…,sensiblemj got enthusiastic marijuana decrim supporters cle come beach house sign
694,1002,"RT @ClaudiaBruggen: Ondertussen #bau hier, dus stelt @D66Zwolle het college wederom de vraag of #Zwolle meedoet aan #wietproef. Nu natuurli…",claudiabruggen ondertussen bau hier dus stelt het college wederom vraag zwolle meedoet aan wietproef
695,523,"Today, Bill #C46 has become law. This is the first change in Canada’s impaired driving laws in a generation. These… https://t.co/RtmBUGDde6",today bill become law first change canada impaired driving laws generation https
696,919,LEGAL MARIJUANA IN CANADA https://t.co/XNTXpZX1IO #MarijuanaDecriminalization #marijuananews #CannabisAct,legal marijuana canada https marijuanadecriminalization marijuananews cannabisact
697,392,RT @BClarahan: It's not #legalization it's monopolization for a few large growers. Second it's created like 50 new regulations and 3 new im…,bclarahan legalization monopolization large growers second created like new regulations new
698,504,RT @MinJusticeEn: We’ve worked hard to make Canada’s roads safer for everyone. I’m happy to announce that #C46 has now become law. The chan…,minjusticeen worked hard make canada roads safer everyone happy announce become law
699,872,"Real loud firing grade AA buds on deck
#SMOKING 
#smokincountryonhot 
#smoke 
#kush 
#CannabisCommunity 
#Cannabis… https://t.co/YEBvES3Q8E",real loud firing grade buds deck smoking smokincountryonhot smoke kush cannabiscommunity https
700,57,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…",made cannabisact receives royal assent regulations wednesday june
701,91,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…",jodieemery momentarily discuss cannabisact good bad ugly new criminal
702,291,"C’est maintenant officiel, la loi sur le cannabis a reçu la sanction royale ce matin. Le cannabis sera légal au Can… https://t.co/TG6ftYZVPZ",est maintenant officiel loi sur cannabis reçu sanction royale matin cannabis sera légal https
703,663,"RT @lecannabiste: ... Une main de fer dans un gant de chanvre. Le CANADA légalise le Cannabis en Septembre.
https://t.co/Olo7Qxf4H2
#lecann…",lecannabiste une main fer dans gant chanvre canada légalise cannabis septembre https
704,483,@Puglaas @HoCChamber @JusticeCanadaEN Thank you MOJAG!  It is truly an honour to work for you!  Such a great spring… https://t.co/ux4QTkiycm,puglaas hocchamber justicecanadaen thank mojag truly honour work great https
705,803,RT @UKLEAP: Unfortunately we’re seeing huge strawman arguments on #bbcqt and #cannabis reform. Using “super-strength” argument. Under regul…,ukleap unfortunately seeing huge strawman arguments bbcqt cannabis reform using argument
706,41,Hear the great news from our neighbors to the north? Congrats!Contact for private sale. #Canada #CannabisAct… https://t.co/4iHYbwsfdE,hear great news neighbors north congrats contact private sale canada https
707,446,"RT @CDNMinHealth: I’m pleased to announce that Bill #C45 has passed in the Senate, a milestone in the process of legalizing and strictly re…",cdnminhealth pleased announce bill passed senate milestone process legalizing strictly
708,901,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…,iliveasnatalie professional within construction industry concerned legalization marijuana affect
709,875,"RT @DomeLord: #Marijuana
Come &amp; see the utter hypocrisy:
https://t.co/El70HSf2sU
https://t.co/OeLcKNGXA2
&amp; the real kicker:
https://t.co/j0…",domelord marijuana come amp see utter hypocrisy https https amp real kicker https
710,774,#TBT to @HIGH_TIMES_Mag cannabis cup with the @GrowSisters. The Grow Sisters are a sisterhood of #cannabis cultivat… https://t.co/5gtx2TDoyV,tbt cannabis cup growsisters grow sisters sisterhood cannabis https
711,909,"RT @gonzotrucker: #Canada #marijuananews #MarijuanaDecriminalization My friend smoked a marijuana cigarette, and then he got the munchies,…",gonzotrucker canada marijuananews marijuanadecriminalization friend smoked marijuana cigarette got munchies
712,292,Hear the great news from our neighbors to the north? Congrats!Contact for private sale. #Canada #CannabisAct… https://t.co/4iHYbwsfdE,hear great news neighbors north congrats contact private sale canada https
713,823,"RT @GoodPeopleBurn2: To show #thanks to our #supporters, we are holding monthly #contest starting now! Win #TheHotBox!! #cannabis #win http…",show thanks supporters holding monthly contest starting win thehotbox cannabis win
714,591,"Why a Top Conservative Politician Is Calling for Marijuana to Be Legalized in the U.K.
https://t.co/Yr1aZl20f9… https://t.co/M6TBG91E6p",top conservative politician calling marijuana legalized https https
715,1055,"RT @ygreck: Loi adoptée #polcan #polQC #AssNat #LegaliseCannabis @JustinTrudeau 
https://t.co/tYzhhRsCgy https://t.co/uOto9SyCr6",ygreck loi adoptée polcan polqc assnat legalisecannabis justintrudeau https https
716,444,#cannabisincanada,cannabisincanada
717,964,"@bbcquestiontime Of course it should !
#LegaliseCannabis",bbcquestiontime course legalisecannabis
718,607,#Massachusetts #marijuananews #MarijuanaStocks https://t.co/pGQMZl8gv6,massachusetts marijuananews marijuanastocks https
719,264,@TheLeafNews So can a medical user grow X amount of plants under Health Canada regs plus Y amount of plants under t… https://t.co/JHu2KFi8Kn,theleafnews medical user grow amount plants health canada regs plus amount plants https
720,87,"Here comes the boom from the new ruler of Ontario, so @fordnation is going to stall #CannabisAct in Ontario??? https://t.co/FL7P34DBpm",comes boom new ruler ontario fordnation going stall cannabisact ontario https
721,501,RT @MinJusticeEn: We’ve worked hard to make Canada’s roads safer for everyone. I’m happy to announce that #C46 has now become law. The chan…,minjusticeen worked hard make canada roads safer everyone happy announce become law
722,725,"@joerogan after having successful results with #dmt , #mdma , #marijuana and #mushrooms, have you been lucky enough… https://t.co/xaUwAwRRIS",joerogan successful results dmt mdma marijuana mushrooms lucky https
723,998,On #ScotlandsTalkIn on Sunday morning tell us what you think of calls to drop the war on #drugs and… https://t.co/reQYlcdeUc,scotlandstalkin sunday morning tell think calls drop war drugs https
724,232,"RT @PACFANX: This guy just said ""marijuana contains more than 400 chemicals, many of which are found in tobacco smoke"". Where do they get t…",pacfanx guy said marijuana contains chemicals many found tobacco smoke get
725,727,"RT @HelloMD_com: @Stephan04999557 @RobbinsGroupLLC tks for the RT! &gt; Come to our #insomnia &amp; #cannabis event tonight in #SanFrancisco, feat…",robbinsgroupllc tks come insomnia amp cannabis event tonight sanfrancisco
726,786,"""Cannabidiol cannabis CBD Dr. Sanjay Gupta dravet syndrome drugs health Medicine Society US healthcare weed news""… https://t.co/LVITjXPYJv",cannabidiol cannabis cbd sanjay gupta dravet syndrome drugs health medicine society healthcare weed news https
727,633,Cannabeer bière artisanale au chanvre | Alimentation et Cosmétique | Alimentation chanvre https://t.co/UI7D4ZTBIq… https://t.co/0Nb5nxF5K7,cannabeer bière artisanale chanvre alimentation cosmétique alimentation chanvre https https
728,699,😂 😂 😂 😂 😂 #cannabis #marijuana #weed @WeedMafiaClub https://t.co/XVUGfacA8t,cannabis marijuana weed weedmafiaclub https
729,561,"RT @JusticeCanadaFR: Aujourd'hui, le projet de loi #C46 est maintenant une loi. C'est le premier changement apporté aux lois canadiennes su…",justicecanadafr projet loi est maintenant une loi premier changement apporté aux lois canadiennes
730,308,RT @TheGreenDailyy: Well it’s official #Canada Trudeau announces Oct 17 2018 as the official date of #legalization of #cannabis. #StayCrisp…,thegreendailyy well official canada trudeau announces oct official date legalization cannabis
731,625,"Legal marijuana will roll out differently in Canada than in U.S.
https://t.co/Yo5EqWUciE
Blog:… https://t.co/1PMZLXKsp4",legal marijuana roll differently canada https blog https
732,486,RT @_deepakanand: People present for Royal Assent ceremony of #C45 #C46 @SenateCA @BillBlair @SenJaffer @BardishKW,people present royal assent ceremony senateca billblair senjaffer bardishkw
733,929,"RT @MontereyBud: #TexasRepublicans , apparently, are ready to discuss #MarijuanaDecriminalization #IndustrialHempCultivation and marijuana’…",montereybud texasrepublicans apparently ready discuss marijuanadecriminalization industrialhempcultivation marijuana
734,744,Why are Feds pushing back the recreational #Marijuana #legal  date in #Canada to Oct. 17 #OccupationalSafety Standa… https://t.co/SS2d78jfXJ,feds pushing back recreational marijuana legal date canada occupationalsafety https
735,672,RT @myherbi_team: Chocolope Fem: Strains of #MedicalMarijuana #hemp #cannabis #marijuana #HEMP #USA #CANADA #Europe https://t.co/cJwT8Lgv7W…,chocolope fem strains medicalmarijuana hemp cannabis marijuana hemp usa canada europe https
736,758,Congratulations to Canada for becoming the first industrialized nation in the world to legalize Cannabis!!!! 🌲🇨🇦🙌🎊… https://t.co/MhGbzKYXFn,congratulations canada becoming first industrialized nation world legalize cannabis https
737,401,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",canborder even though cannabis legal regulated canada near future still able bring
738,319,Will @fordnation realize the start up waste and how integrating the existing industry would create more jobs and cu… https://t.co/sCYtTYHwZA,fordnation realize start waste integrating existing industry would create jobs https
739,324,RT @420partypeople: #wakeandbake #gethigh #Coffee #cannabis #marijuana #mmj #pot #puffandpass #weed #weedsociety #weedstagram #stonerfam #s…,wakeandbake gethigh coffee cannabis marijuana mmj pot puffandpass weed weedsociety weedstagram stonerfam
740,270,"RT @DonDavies: This week Parliament passed #C45. This bill will positively change 100 years of legal, social &amp; economic attitudes toward #c…",dondavies week parliament passed bill positively change years legal social amp economic attitudes toward
741,564,"Today, Bill #C46 has become law. This is the first change in Canada’s impaired driving laws in a generation. These… https://t.co/JiR2BLQLHR",today bill become law first change canada impaired driving laws generation https
742,973,"@bbcquestiontime why not legalise marijuana tax and make it cleaner, safer for use, cut out the black market, boost… https://t.co/H4skZOLQJz",bbcquestiontime legalise marijuana tax make cleaner safer use cut black market https
743,1003,"RT @Official_GSJ: If you are concerned about adolescents having access to #cannabis, you should be FOR #legalisation, not against.

Drug de…",concerned adolescents access cannabis legalisation drug
744,927,"#Canada #marijuananews #MarijuanaDecriminalization My friend smoked a marijuana cigarette, and then he got the munc… https://t.co/LiZykP5ytw",canada marijuananews marijuanadecriminalization friend smoked marijuana cigarette got https
745,388,#HASHtag get it? HASHtag. #cannabis #marijuana #legalization #hemp #CBD #hashish #shatter #dabs #bonghits #satchel… https://t.co/3ImRNXF97a,hashtag get hashtag cannabis marijuana legalization hemp cbd hashish shatter dabs bonghits https
746,217,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
747,51,RT @JoinGreenRush: #Canada has officially legalized #cannabis for recreational use! It's the second country in the world to pass a law like…,joingreenrush canada officially legalized cannabis recreational use second country world pass law
748,379,"RT @evergreen_law: There is a green wave across the nation &amp; globe 
#legalization #decriminalize #history #cannabis
https://t.co/392hXJTFIj",green wave across nation amp globe legalization decriminalize history cannabis https
